,0,1,2,3,4,5,6,7,8,9,10,11,12,username
10,Female,Male,left,Punjabi,New Job,married,Hindu,Kolkata,Accounting ,IIT Roorkee,SAINT GYANDIL ACADEMY,"Take chances, make mistakes. Thats how you grow. Pain nourishes your courage. You have to fail in order to practice being brave. Mary Tyler Moore",Lennar,sagar.agarwal.14
11,Male,Female,right,Hindi,Bought House,married,Hindu,Nagpur,SEM Marketing,Vallabhbhai Patel Chest Institute,ROCK VALE ACADEMY,"A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing. George Bernard Shaw",AMN Healthcare Services,rohan.dhariwal.773
12,Male,Female,apolitical,,Bought House,single,Muslim,Nagpur,Frequency analysis,Bharati College,"BAHAI SCHOOL, SARAMSA",Nothing lasts forever. Not even your troubles. Arnold H Glasgow,Sealed Air,yashpatil812
13,Male,Female,right,Punjabi,Bought Vehicle,live-in,Hindu,,Mathematics ,Maharaja Agarsen College,ST. THOMAS SCHOOL,"Ive missed more than 9,000 shots in my career. Ive lost almost 300 games. Twenty-six times Ive been trusted to take the game-winning shot and missed. Ive failed over and over and over again in my life. And that is why I succeed. Michael Jordan",Lam Research,friyan.bajan
14,Female,Male,right,English,Graduated,live-in,Hindu,Delhi, pallet-stacker,G.B. Pant Hospital,SARASWATI SISHU NIKETAN,The only thing keeping you from getting what you want is the story you keep telling yourself about why you dont have it. People who are willing to die to succeed will tend to succeed. Tony Robbins,Hain Celestial Group,100000425694626
15,,Female,apolitical,Hindi,,,Hindu,Hyderabad,Adobe Creative Suite,Moti Lal Nehru College,BOSKO ENG SCHOOL (PVT),Nothing lasts forever. Not even your troubles. Arnold H Glasgow,Laureate Education,100008784151856
16,Male,Female,left,Hindi,Married,complicated,Sikh,Visakhapatnam,Mathematics ,Shaheed Bhagat Singh College,PUSHPANJALI VIDHALAYA,"Take chances, make mistakes. Thats how you grow. Pain nourishes your courage. You have to fail in order to practice being brave. Mary Tyler Moore",Targa Resources,rohan.wable.18
17,Female,,,English,Bought Vehicle,,Jainism,, C++,Delhi College of Arts & Commerce,BETHANY SCHOOL,"Its not the size of the dog in the fight, but the size of the fight in the dog. Archie Griffen",Expeditors Intl. of Washington,anikashukla0107
18,Male,Female,right,Hindi,,single,Hindu,Lucknow, Ableton Live Suite,College of Vocational Studies,DEFFODILS ACADEMY,"If you don’t go after what you want, you’ll never have it. If you don’t ask, the answer is always no. If you don’t step forward, you’re always in the same place. Nora Roberts",Eversource Energy,anant.sahai.3
19,Female,Male,right,,Bought House,divorced,Hindu,Kolkata,Frequency analysis,St. Stephen's College,ANNES HOUSE NUSERY,"A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing. George Bernard Shaw",Thermo Fisher Scientific,100008787584576
20,Male,Female,right,Hindi,,committed,,Nagpur, pallet-stacker,Holy Family College of Nursing,RISING STAR (PVT),,Xcel Energy,pranit.sharma.7
21,Female,Male,,,,divorced,Hindu,Delhi,Java,Maulana Azad Institute of Dental Sciences,"BAHAI SCHOOL, SARAMSA",There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle Albert Einstein,Consolidated Edison,WEareSUBU
22,Female,Male,apolitical,Bengali,Bought Vehicle,committed,Sikh,Nagpur, Google Analytics,Shaheed Bhagat Singh College,EDEN GARDEN SCHOOL (P),,Intuit,pranav.sharma.71465
23,,,right,Bengali,,single,Jainism,Ahmedabad, ERP systems,College of Art,VISION ACADEMY,"Being strong means rejoicing in who you are, complete with imperfections. Margaret Woodhouse",Genesis Energy,100001589774960
24,,Other,right,English,Married,single,Sikh,Delhi,Adobe Creative Suite,P.G.D.A.V. College,PRASHANTI VIDYA GIRI,The only thing keeping you from getting what you want is the story you keep telling yourself about why you dont have it. People who are willing to die to succeed will tend to succeed. Tony Robbins,Philip Morris International,MojoJojo345
25,Female,,left,Hindi,Graduated,complicated,Hindu,Pune,Frequency analysis,Satyawati College,ANNIES HOME,I quit being afraid when my first venture failed and the sky didnt fall down. Allen H Neuharth,Penske Automotive Group,awesomeaakashbhatnagar
26,,Other,apolitical,Hindi,New Job,single,Muslim,Delhi,R,Chacha Nehru Bal Chikitsalaya,EVERSHINE ACADEMY,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle Albert Einstein,First American Financial,kokila.chandrashekaran
27,Male,Female,,Hindi,Bought Vehicle,committed,Christian,Chennai, pallet-stacker,Sri Venkateswara College,RAINDOW PRY (PVT),"If you don’t go after what you want, you’ll never have it. If you don’t ask, the answer is always no. If you don’t step forward, you’re always in the same place. Nora Roberts",Cognizant Technology Solutions,100009877600122
28,Female,Male,right,English,Bought Vehicle,married,Sikh,Kolkata, Google Analytics,IIIT Ahemdabad,TRUE LIGHT ACADEMY,"Youre going to fail your way to success, you have nothing to be ashamed of so keep your head up. It’s much easier to come up with excuses of why you cant do it. If you do what is easy your life will be hard. Les Brown",CVS Health,priyanshi.jain.940
29,Male,Female,,Bengali,New Job,married,Hindu,Pune, Stethoscope Usage,Sri Aurobindo College (Evening),VIDYA BHARATI SCHOOL,"A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing. George Bernard Shaw",Celgene,prakhar.rai.3785
30,Female,Male,,Bengali,Bought House,single,Sikh,Delhi, ERP systems,Sri Guru Tegh Bahadur Khalsa College,NORTH SIKKIM ACADEMY,"Take chances, make mistakes. Thats how you grow. Pain nourishes your courage. You have to fail in order to practice being brave. Mary Tyler Moore",M/I Homes,100000038174875
31,Female,Male,left,English,Bought House,committed,Hindu,,C#,Satyawati College (Evening),GOOD SHEPHERD ENGLISH SCHOOL,"Its not the size of the dog in the fight, but the size of the fight in the dog. Archie Griffen",Hill-Rom Holdings,uditasingh19
32,Female,Male,left,Hindi,Bought Vehicle,married,Jainism,Surat, Google Analytics,Satyawati College,HANSAVAHINI SISHU MANDIR AMBA,"Aerodynamically the bumblebee shouldnt be able to fly, but the bumblebee doesnt know that so it goes on flying anyway. Mary Kay Ash",Hub Group,100004299946922
33,Female,,left,,,,Sikh,Kanpur, pallet-stacker,Ram Lal Anand College,Chandra Kumari Chettri Memorial School,,Select Medical Holdings,amogh.gulati
34,Female,Male,left,,,live-in,Sikh,Ahmedabad,operating a road roller,Kirori Mal College,MOUNT OLIVES ACADEMY,"Its not the size of the dog in the fight, but the size of the fight in the dog. Archie Griffen",Patterson,priyank.singh.5439
35,Male,Female,,,Bought Vehicle,single,Jainism,Hyderabad, Stethoscope Usage,IIT Kanpur,GREENVALE ACADEMY,,American Express,lakshay.dahiya.12
36,,,right,Hindi,New Job,,Christian,Bangalore,C#,Indira Gandhi Institute of Physical Education & Sports Sciences,TRINITY SCHOOL SRIBADAM,,Discovery,scooby7shaggy
37,,,right,Hindi,Graduated,,Christian,Kolkata, Stethoscope Usage,Dyal Singh College (Evening),"DEW DROPS ACADEMY,CHAKUNG",,Square,varunchopra4
38,,Other,right,Tamil,Graduated,live-in,,Pune,Mathematics ,P.G.D.A.V. College,"MODEL ENGLISH HOUSE,RESHI",,Union Pacific,dhruv.kapoor22
39,Male,Female,right,Hindi,,married,Hindu,Kanpur,Java,Shyam Lal College,MANJUSRI PUBLIC SCHOOL,"A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing. George Bernard Shaw",Leggett & Platt,dhruvvermaa
40,Male,Male,right,Hindi,Bought Vehicle,divorced,Muslim,Mumbai,Accounting ,Vallabhbhai Patel Chest Institute,PIONEER ACADEMY GYALSHING,"Its not the size of the dog in the fight, but the size of the fight in the dog. Archie Griffen",Euronet Worldwide,trishala.mohanty.96
41,Male,Female,right,Hindi,Graduated,complicated,Hindu,Jaipur, forklifting,Shaheed Bhagat Singh College (Evening),MODERN ACADEMY,"Just decide; whats its gonna be, who youre gonna be and how your gonna do it, and then from that point, the universe will get out of your way. Will Smith",Westlake Chemical,saharshgupta22
42,Male,Female,,Punjabi,Graduated,single,Muslim,Chennai,Adobe Creative Suite,Keshav Mahavidyalaya,TRUE LIGHT ACADEMY,Nothing splendid has ever been achieved except by those who dared believe that something inside of them was superior to circumstance. Bruce Barton,Murphy USA,100011148887707
43,Female,Male,right,Bengali,New Job,divorced,,Kolkata,Frequency analysis,College of Vocational Studies,MAINUM NURSERY SCHOOL,,Host Hotels & Resorts,krish.kakkar.3
44,Male,Female,apolitical,Hindi,Bought House,married,Muslim,Delhi,SEM Marketing,Aryabhatta College(Formally Ram Lal Anand College-Evg.),HILL BUDS ACADEMY,,Medical Mutual of Ohio,nikhila.kalia
45,Male,Female,apolitical,English,Married,single,Hindu,Ahmedabad,Java,Aryabhatta College(Formally Ram Lal Anand College-Evg.),EBENEZER ACADEMY,"Hope never abandons you, you abandon it. George Weinberg",Torchmark,unnati.0912
46,Female,Male,right,Hindi,,married,Jainism,Bangalore,Accounting ,Deshbandhu College(Morning),DE NOBILE ACADEMY (PVT),,Alexion Pharmaceuticals,brinda.shah.165
47,Male,Female,apolitical,,Bought House,married,Christian,Pune,,Ayurvedic & Unani Tibia College,TISTA MODEL ACADEMY,"Ive missed more than 9,000 shots in my career. Ive lost almost 300 games. Twenty-six times Ive been trusted to take the game-winning shot and missed. Ive failed over and over and over again in my life. And that is why I succeed. Michael Jordan",Enterprise Products Partners,100013170003919
48,,Female,right,English,Married,,Sikh,Chennai, pallet-stacker,Maulana Azad Medical College,FUTURE STAR ACADEMY,,United States Steel,varad.choudhary
49,Female,Male,,Hindi,,divorced,Hindu,Hyderabad,Frequency analysis,Ram Lal Anand College,KINCHIN CASTLE ACADEMY,,Carlisle,archit.mam.7
50,,Other,right,English,Bought Vehicle,married,Sikh,Nagpur,Mathematics ,Lakshmi Bai College for Women,BRIGHT CAREER ACHADEMY,,Unisys,shubhangi.deshmukh.33
51,Male,Female,apolitical,Tamil,Bought House,single,Hindu,,Adobe Creative Suite,Kasturba Hospital,SOUTH POINT ACADEMY,,Digital Realty Trust,100009402341466
52,Female,Male,apolitical,Hindi,Bought Vehicle,live-in,Atheist,Kanpur, Ableton Live Suite,Aditi Mahavidyalaya,GYAN KUNJA (PVT),,,tejas.greenday
53,Female,Male,apolitical,Bengali,New Job,live-in,Hindu,Mumbai, Google Search Console Operator,Daulat Ram College,EVERSHINE ACADEMY,,Gardner Denver,krsna.singh.3
54,Female,Male,apolitical,,Bought Vehicle,committed,Sikh,Pune, Google Search Console Operator,College of Vocational Studies,HIMALAYAN RADIANT ACADEMY,"Take chances, make mistakes. Thats how you grow. Pain nourishes your courage. You have to fail in order to practice being brave. Mary Tyler Moore",Hasbro,sehaj.wadhwa.3
55,Male,Female,left,English,Married,divorced,,Delhi, Scala,College of Nursing at Army Hospital (R&R),KYI-DE-KHANG SEC.SCHOOL,,Amgen,hitasha.mittal
56,Female,Male,,Hindi,Bought Vehicle,single,Hindu,Bangalore, Stethoscope Usage,Shaheed Bhagat Singh College (Evening),HIMALAYAN RADIANT ACADEMY,"Youre going to fail your way to success, you have nothing to be ashamed of so keep your head up. It’s much easier to come up with excuses of why you cant do it. If you do what is easy your life will be hard. Les Brown",Kar Auction Services,yash.garde
57,Female,Male,right,Hindi,Married,married,Muslim,Nagpur, Ableton Live Suite,Sri Venkateswara College,MAYAL KATEN NAMGYALLING ACADEMY SCHOOL,I quit being afraid when my first venture failed and the sky didnt fall down. Allen H Neuharth,United Parcel Service,a.prakhar98
58,Female,Male,right,Punjabi,New Job,complicated,Muslim,Kolkata, ERP systems,Shaheed Bhagat Singh College (Evening),LITTLE FLOWER NURSERY (PRY),There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle Albert Einstein,Western Union,vishal.samal.90
59,,Female,,Tamil,,,Hindu,Visakhapatnam, Google Search Console Operator,Bhaskaracharya College of Applied Sciences,SERNYA SCHOOL,The only thing keeping you from getting what you want is the story you keep telling yourself about why you dont have it. People who are willing to die to succeed will tend to succeed. Tony Robbins,Triple-S Management,rohan.shukla.79
60,Male,,left,English,Graduated,married,Buddhism,Mumbai, forklifting,Keshav Mahavidyalaya,NEW LIGHT ACADEMY,"If you don’t go after what you want, you’ll never have it. If you don’t ask, the answer is always no. If you don’t step forward, you’re always in the same place. Nora Roberts",Lennar,khushii.raj.5
61,Male,Female,left,English,New Job,single,Christian,Kanpur, Google Analytics,National Institute of Health & Family Welfare,GREAT HEIGHT ACADEMY,"Its not the size of the dog in the fight, but the size of the fight in the dog. Archie Griffen",Morgan Stanley,vanshika.gupta3
62,Female,Male,left,Hindi,Graduated,married,,Kanpur,C#,Deen Dayal Upadhyaya College,RAPHJORE ACADEMY,Nobody can make you feel inferior without your consent. Eleanor Roosevelt,Brunswick,100003302077349
63,Female,,,Hindi,New Job,single,Buddhism,Lucknow,Accounting ,Shyam Lal College (Evening),JUBILANT SCHOOL,"Take chances, make mistakes. Thats how you grow. Pain nourishes your courage. You have to fail in order to practice being brave. Mary Tyler Moore",Netflix,ekansh.arora.54
64,Female,Male,apolitical,Hindi,Married,single,Muslim,Lucknow, ERP systems,Sri Guru Tegh Bahadur Khalsa College,SKYLARK ACADEMY,,Kelly Services,swapnil.bansal.161
65,Male,Female,,English,Married,married,Christian,Jaipur, Ableton Live Suite,Ayurvedic & Unani Tibia College,BETHESDA ACADEMY (PVT),The only thing keeping you from getting what you want is the story you keep telling yourself about why you dont have it. People who are willing to die to succeed will tend to succeed. Tony Robbins,Norfolk Southern,akshit.basur
66,Female,Male,apolitical,Hindi,Bought Vehicle,divorced,Christian,Jaipur, pallet-stacker,Zakir Husain Post Graduate Evening College,LITTLE ANGELS ACADEMY,Nobody can make you feel inferior without your consent. Eleanor Roosevelt,Nike,doomzday08
67,Female,Male,apolitical,Tamil,Married,divorced,Hindu,Pune, forklifting,Sri Guru Gobind Singh College of Commerce,NEW VISION ACADEMY,Nobody can make you feel inferior without your consent. Eleanor Roosevelt,Bloomin' Brands,aditya207
68,Male,Female,apolitical,Hindi,Bought House,live-in,Muslim,Hyderabad, Scala,Maitreyi College for Women,ENLIGHTEN EDU.INST.,,Microsoft,AKphotography05/
69,Female,Male,right,English,Bought House,single,Muslim,Surat, Stethoscope Usage,Satyawati College (Evening),SARASWATI VIDHYA ACADEMY,,ADT,kairavi.sarup.7
70,Male,Female,,Hindi,New Job,single,Atheist,Kolkata,R,Dyal Singh College (Evening),MOUNT OLIVES ACADEMY,Nothing lasts forever. Not even your troubles. Arnold H Glasgow,Zebra Technologies,aashaymittal
71,,Female,left,Hindi,Bought Vehicle,live-in,Buddhism,Mumbai, Ableton Live Suite,All India Institute of Ayurveda,Lotus Valley,,Prologis,lehar.aiyyappa
72,Female,Male,left,English,Graduated,single,Atheist,Delhi, Google Search Console Operator,College of Art,ANNIES HOME,"If you don’t go after what you want, you’ll never have it. If you don’t ask, the answer is always no. If you don’t step forward, you’re always in the same place. Nora Roberts",NCR,anmol.aimaa
73,Male,Female,left,Punjabi,,single,,,R,School of Rehabilitation Sciences,SARASWATI SISHU VIDYALA,Nothing lasts forever. Not even your troubles. Arnold H Glasgow,Skyworks Solutions,hananabhamid
74,Male,Female,right,English,New Job,live-in,Buddhism,Delhi, CRMs,College of Nursing at Army Hospital (R&R),SUNMARG ACADEMY,It took me a long time not to judge myself through someone elses eyes. Sally Field,Tiffany,tushar.sharma.39566905
75,Male,Female,left,Bengali,New Job,single,Atheist,Nagpur, Google Analytics,P.G.D.A.V. College,ST JOSEPH SCHOOL,"Just decide; whats its gonna be, who youre gonna be and how your gonna do it, and then from that point, the universe will get out of your way. Will Smith",FleetCor Technologies,simran.tyagi.319
76,Female,Male,left,Hindi,New Job,,,Pune,Mathematics ,Ahilya Bai College of Nursing,SUNRISE SCHOOL (PVT),,Comfort Systems USA,vrinda.awasthi
77,,Male,apolitical,English,Married,complicated,Hindu,Delhi, Ableton Live Suite,Shyam Lal College,SHANTI MEMORIAL ACADEMY,"The secret is in not giving up, of all the greats they didnt quit. If you quit I guarantee youre gonna fail, but you dont know whats gunna happen if you dont give in. Eric Thomas",Teleflex,greatadikapoor
78,,Male,,English,,live-in,,Bangalore, CRMs,Lakshmi Bai College for Women,HANSAVAHINI SISHU MANDIR AMBA,"Take chances, make mistakes. Thats how you grow. Pain nourishes your courage. You have to fail in order to practice being brave. Mary Tyler Moore",Aflac,shriti.agarwal.50
79,Male,,apolitical,Hindi,Bought House,divorced,Jainism,Hyderabad, bookkeeping,IIIT Ahemdabad,CANARY BIRD ACADEMY,Nobody can make you feel inferior without your consent. Eleanor Roosevelt,Philip Morris International,100005931842072
80,Female,,,English,New Job,divorced,Atheist,Delhi, ERP systems,Lady Shri Ram College for Women,BETHANY SCHOOL,"The secret is in not giving up, of all the greats they didnt quit. If you quit I guarantee youre gonna fail, but you dont know whats gunna happen if you dont give in. Eric Thomas",Teradata,sahilartfusion
81,Male,Female,right,Punjabi,Bought House,divorced,Christian,Pune, C++,Satyawati College,JUVENTUS ACADEMY,The only thing keeping you from getting what you want is the story you keep telling yourself about why you dont have it. People who are willing to die to succeed will tend to succeed. Tony Robbins,Valero Energy,mihir.goyal.7
82,Male,Female,left,Punjabi,New Job,live-in,Hindu,Kanpur, Stethoscope Usage,Bhim Rao Ambedkar College,DAUGHTER OF THE CROSS CONVENT SCHOOL,,Intercontinental Exchange,nehabhairavi.prakriya
83,Male,Female,apolitical,Hindi,Married,married,Muslim,Ahmedabad, Crystallization ,Vivekananda College,HIMALAYAN SARASWATI VIDYALAYA,Nobody can make you feel inferior without your consent. Eleanor Roosevelt,Popular,100013667700975
84,Male,Female,right,English,Bought Vehicle,complicated,Hindu,,Adobe Creative Suite,College of Art,SKYLARK ACADEMY,"Being strong means rejoicing in who you are, complete with imperfections. Margaret Woodhouse",Assurant,nikita.gupta.754
85,Male,Female,right,Bengali,New Job,single,Atheist,Pune, Scala,Indira Gandhi Institute of Physical Education & Sports Sciences,ADONAI HOMES,"Aerodynamically the bumblebee shouldnt be able to fly, but the bumblebee doesnt know that so it goes on flying anyway. Mary Kay Ash",CA,100021866027067
86,Female,Male,,Bengali,Bought House,married,Christian,Delhi, CRMs,Aryabhatta College(Formally Ram Lal Anand College-Evg.),MARIGOLD ACADEMY,"A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing. George Bernard Shaw",LSC Communications,khushi.dadlani
87,Male,Female,apolitical,English,Bought House,divorced,Muslim,Bangalore, Ableton Live Suite,Bhim Rao Ambedkar College,MOUNT CARMEL,,Morgan Stanley,utsavpilania
88,Female,Male,apolitical,Bengali,Married,married,Christian,Surat, ERP systems,Shaheed Bhagat Singh College,ENLIGHTEN ACADEMY,"The secret is in not giving up, of all the greats they didnt quit. If you quit I guarantee youre gonna fail, but you dont know whats gunna happen if you dont give in. Eric Thomas",Rite Aid,diksha.gusain99
89,Female,Male,,Hindi,Married,divorced,Muslim,Kolkata, C++,Sri Guru Gobind Singh College of Commerce,ADARSH VIDHYA MANDIR,It took me a long time not to judge myself through someone elses eyes. Sally Field,Allstate,sumit.raj.39142
90,,Female,left,,New Job,,Muslim,Jaipur,operating a road roller,P.G.D.A.V. College,ST JOHN ENGLISH SCHOOL,The only thing keeping you from getting what you want is the story you keep telling yourself about why you dont have it. People who are willing to die to succeed will tend to succeed. Tony Robbins,Lamb Weston Holdings,100000652330131
91,Male,Female,right,English,Married,committed,,Delhi, Crystallization ,Deen Dayal Upadhyaya College,MAYAL LYANG ACADEMY,,VF,gauravkx22
92,Female,Male,,English,Graduated,,Buddhism,,operating a road roller,Jesus & Mary College,KARMA DHARMA CHAKRA UPS,"Just decide; whats its gonna be, who youre gonna be and how your gonna do it, and then from that point, the universe will get out of your way. Will Smith",Twitter,100027401655008
93,Female,Male,right,Hindi,Graduated,complicated,Atheist,Delhi,operating a road roller,Zakir Husain Delhi College,GREEN FILED ACADEMY (PVT),"A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing. George Bernard Shaw",Beazer Homes USA,aishwarya.khandelwal.9
94,Female,Male,apolitical,,Married,live-in,Muslim,Visakhapatnam, pallet-stacker,St. Stephen's College,ESWARAMA SAI GURUKUL,"Aerodynamically the bumblebee shouldnt be able to fly, but the bumblebee doesnt know that so it goes on flying anyway. Mary Kay Ash",Auto-Owners Insurance,Rheaguptax
95,Female,Male,,English,Married,committed,Christian,Ahmedabad,SEM Marketing,Kirori Mal College,MOUNT CARMEL,Nothing lasts forever. Not even your troubles. Arnold H Glasgow,Syneos Health,aarushi.matiyani
96,Female,Male,right,Punjabi,Married,live-in,Christian,Delhi, Scala,Jesus & Mary College,PLAY AND LEARN NURSERY SCHOOL,"Being strong means rejoicing in who you are, complete with imperfections. Margaret Woodhouse",Liberty Media,vaibhav.goel.984
97,Female,Male,right,Punjabi,New Job,single,Hindu,Jaipur,Mathematics ,Kirori Mal College,RADIANT STARS ACADEMY,"Hope never abandons you, you abandon it. George Weinberg",Citizens Financial Group,aashay.kulkarni.7
98,Female,Male,,Hindi,New Job,married,Muslim,Chennai, operating a PoS,Moti Lal Nehru College,SWARSWATI BAL VIDHALAYA,Nothing lasts forever. Not even your troubles. Arnold H Glasgow,Yum China Holdings,100003817016895
99,Female,Male,left,English,Graduated,complicated,Jainism,Kanpur, Scala,College of Art,LITTLE ANGELS ACADEMY,,Maxar Technologies,rushal.srivastava
100,,,apolitical,Tamil,Married,committed,Jainism,Nagpur, operating a PoS,Maharshi Valmiki College of Education,DON BOSCO MALBASEY,The only place you find success before work is in the dictionary. May V Smith,Zions Bancorp.,shubh.kapoor.31
101,Female,Male,,English,New Job,committed,Jainism,Delhi, CRMs,Satyawati College,ST STEPHENS SCHOOL,"Just decide; whats its gonna be, who youre gonna be and how your gonna do it, and then from that point, the universe will get out of your way. Will Smith",IAC/InterActiveCorp,pawanvs99
102,Male,Female,left,,Bought Vehicle,,Hindu,Ahmedabad, Crystallization ,,MATRI ACADEMY,"A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing. George Bernard Shaw",Mettler-Toledo International,sonakshi.hajela.1
103,Female,Male,left,English,Bought Vehicle,committed,Christian,Delhi, forklifting,IIT Roorkee,DON BOSCO MALBASEY,,Lamb Weston Holdings,kalra.isha
104,,Male,right,,,,Buddhism,Hyderabad,SEM Marketing,Rajdhani College,KIDS WORLD (PVT),"A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing. George Bernard Shaw",Herman Miller,siddharth.panpaliya
105,,Male,right,Tamil,Graduated,complicated,Sikh,Ahmedabad,Adobe Creative Suite,Aditi Mahavidyalaya,SARASWATI VIDYA NIKETAN,"Hope never abandons you, you abandon it. George Weinberg",Community Health Systems,naisha.bansal
106,Male,Female,,,,,Atheist,Delhi,C#,Zakir Husain Post Graduate Evening College,PIONEER ACADEMY GYALSHING,"The secret is in not giving up, of all the greats they didnt quit. If you quit I guarantee youre gonna fail, but you dont know whats gunna happen if you dont give in. Eric Thomas",Mondelez International,shashwatrock
107,,Other,apolitical,Tamil,Bought House,,Hindu,Surat, bookkeeping,Shyama Prasad Mukherji College for Women,KUSH HANG MEMORIAL ENGLISH SCHOOL,I quit being afraid when my first venture failed and the sky didnt fall down. Allen H Neuharth,Walmart,damanpalsingh.6
108,Female,Male,right,Bengali,Married,live-in,Hindu,Delhi, Scala,Bhim Rao Ambedkar College,SIKKIM HOMES ACADEMY,Nothing lasts forever. Not even your troubles. Arnold H Glasgow,Iron Mountain,rkr9thelaw
109,,Female,,,Bought Vehicle,complicated,Hindu,Visakhapatnam, pallet-stacker,Kalindi College for Women,NEW VISION ACADEMY,,Progressive,mohammed.burk.5
110,Male,Female,left,English,,,Jainism,Surat,Frequency analysis,Lady Hardinge Medical College,AGAM SINGH ACADEMY,"People are like stained-glass windows. They sparkle and shine when the sun is out, but when the darkness sets in their true beauty is revealed only if there is light from within. Elisabeth Kübler-Ross",First Republic Bank,Kapuu.shaurya
111,Male,Female,apolitical,Hindi,Graduated,married,Buddhism,Nagpur,Java,Chacha Nehru Bal Chikitsalaya,ROCK VALE ACADEMY,"People are like stained-glass windows. They sparkle and shine when the sun is out, but when the darkness sets in their true beauty is revealed only if there is light from within. Elisabeth Kübler-Ross",Entergy,alinak97
112,,Male,right,,Graduated,divorced,Atheist,,Adobe Creative Suite,Rajkumari Amrit Kaur College of Nursing,BLISS ACADEMY,"If you don’t go after what you want, you’ll never have it. If you don’t ask, the answer is always no. If you don’t step forward, you’re always in the same place. Nora Roberts",Carter's,memento.l.mori
113,Female,,,English,Bought Vehicle,live-in,,Hyderabad, Scala,Kasturba Hospital,INDIRA MEMORIAL ACADEMY,"If you don’t go after what you want, you’ll never have it. If you don’t ask, the answer is always no. If you don’t step forward, you’re always in the same place. Nora Roberts",GMS,ajay.stark.7773
114,,Other,left,English,Graduated,divorced,Hindu,Delhi,operating a road roller,Shaheed Sukhdev College of Business Studies,PLAY AND LEARN NURSERY SCHOOL,"Its not the size of the dog in the fight, but the size of the fight in the dog. Archie Griffen",Akamai Technologies,manik.arora.9047
115,Female,Male,right,,Bought House,live-in,Atheist,Kolkata,Java,Kirori Mal College,EUREKA RESIDENTIAL SCHOOL,"If you don’t go after what you want, you’ll never have it. If you don’t ask, the answer is always no. If you don’t step forward, you’re always in the same place. Nora Roberts",Ford Motor,vaishalisharma12345
116,Female,Male,right,English,New Job,live-in,Sikh,Nagpur,,Moti Lal Nehru College,KING GEORGE ACADEMY,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle Albert Einstein,Xerox,pratham.naren
